"id","submitdate","lastpage","startlanguage","seed","ID","IT","POSTCARDIE1[SQ001]","POSTCARDPT1[SQ001]","POSTCARDPCH1[SQ001]","POSTCARDPCO1[SQ001]","POSTCARDIE2[SQ001]","POSTCARDPT2[SQ001]","POSTCARDPCO2[SQ001]","POSTCARDIE3[SQ001]","POSTCARDPT3[SQ001]","POSTCARDIE4[SQ001]","POSTCARDPCH2[SQ001]","POSTCARDPCO3[SQ001]","POSTCARDPT4[SQ001]","POSTCARDIE5[SQ001]","POSTCARDPCH3[SQ001]","POSTCARDPCO4[SQ001]","POSTCARDIE6[SQ001]","POSTCARDPT5[SQ001]","POSTCARDPCH4[SQ001]","POSTCARDIE7[SQ001]","POSTCARDPCH5[SQ001]","POSTCARDPCO5[SQ001]","POSTCARDFA1","POSTCARDFA2","POSTCARDFA3","POSTCARDPU1","POSTCARDPU2","POSTCARDPU3","POSTCARDAE1","POSTCARDAE2","POSTCARDAE3","POSTCARDRW1","POSTCARDRW2","POSTCARDRW3","CUBIE1[SQ001]","CUBEPT1[SQ001]","CUBEPCH1[SQ001]","CUBEPCO1[SQ001]","CUBEIE2[SQ001]","CUBEPT2[SQ001]","CUBEPCO2[SQ001]","CUBEIE3[SQ001]","CUBEPT3[SQ001]","CUBEIE4[SQ001]","CUBEPCH2[SQ001]","CUBEPCO3[SQ001]","CUBEPT4[SQ001]","CUBEIE5[SQ001]","CUBEPCH3[SQ001]","CUBEPCO4[SQ001]","CUBEIE6[SQ001]","CUBEPT5[SQ001]","CUBEPCH4[SQ001]","CUBEIE7[SQ001]","CUBEPCH5[SQ001]","CUBEPCO5[SQ001]","CUBEFA1","CUBEFA2","CUBEFA3","CUBEPU1","CUBEPU2","CUBEPU3","CUBEAE1","CUBEAE2","CUBEAE3","CUBERW1","CUBERW2","CUBERW3","LEAFLETIE1[SQ001]","LEAFLETPT1[SQ001]","LEAFLETPCH1[SQ001]","LEAFLETPCO1[SQ001]","LEAFLETIE2[SQ001]","LEAFLETPT2[SQ001]","LEAFLETPCO2[SQ001]","LEAFLETIE3[SQ001]","LEAFLETPT3[SQ001]","LEAFLETIE4[SQ001]","LEAFLETPCH2[SQ001]","LEAFLETPCO3[SQ001]","LEAFLETPT4[SQ001]","LEAFLETIE5[SQ001]","LEAFLETPCH3[SQ001]","LEAFLETPCO4[SQ001]","LEAFLETIE6[SQ001]","LEAFLETPT5[SQ001]","LEAFLETPCH4[SQ001]","LEAFLETIE7[SQ001]","LEAFLETPCH5[SQ001]","LEAFLETPCO5[SQ001]","LEAFLETFA1","LEAFLETFA2","LEAFLETFA3","LEAFLETPU1","LEAFLETPU2","LEAFLETPU3","LEAFLETAE1","LEAFLETAE2","LEAFLETAE3","LEAFLETRW1","LEAFLETRW2","LEAFLETRW3"
"34","1980-01-01 00:00:00","7","en","1714086361","1","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","6","5","4","2","1","4","2","4","7","4","2","5","4","4","4","2","4","4","6","5","2","3","3","3","2","3","3","3","3","3","4","3"
"35","1980-01-01 00:00:00","7","en","2143470999","1","A1","5","2","6","5","5","2","1","5","3","5","6","4","4","5","4","4","5","3","6","5","6","5","3","4","3","2","3","2","3","3","3","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","1980-01-01 00:00:00","7","en","131707981","1","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","2","6","4","6","2","1","6","2","6","6","4","2","6","5","5","6","4","6","5","6","5","4","5","4","2","2","2","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","1980-01-01 00:00:00","7","en","1830421490","2","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","6","5","5","2","4","5","3","5","6","5","2","6","6","6","6","1","6","6","7","6","4","4","5","2","1","1","3","4","3","4","4","5"
"38","1980-01-01 00:00:00","7","en","1554060151","2","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","2","6","6","6","1","5","6","2","7","7","6","2","7","6","6","7","1","7","7","7","7","5","5","4","1","1","2","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","1980-01-01 00:00:00","7","en","1911035503","2","A1","6","1","7","6","7","1","5","7","1","7","7","6","1","7","6","6","7","1","7","7","2","7","5","4","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","1980-01-01 00:00:00","7","en","452737342","3","A1","5","1","7","7","7","2","4","7","1","7","7","6","1","7","7","5","7","1","7","7","7","5","4","4","4","1","3","3","5","5","5","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","1980-01-01 00:00:00","7","en","1138247038","3","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","6","7","1","5","7","1","7","7","5","1","7","7","5","7","1","7","7","7","6","3","2","3","3","4","3","3","3","3","4","3","3"
"42","1980-01-01 00:00:00","7","en","1116356396","3","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","5","7","1","4","7","1","7","7","7","1","7","7","6","7","1","7","7","7","5","5","5","5","1","2","1","5","5","5","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","1980-01-01 00:00:00","7","en","325417769","4","A1","7","1","7","4","5","3","4","7","1","7","7","4","5","6","5","5","7","3","4","6","3","7","5","5","5","1","2","2","3","3","3","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","1980-01-01 00:00:00","7","en","2002751031","4","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","7","7","2","7","7","1","7","7","6","2","6","6","6","6","3","7","7","6","6","5","5","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","1980-01-01 00:00:00","7","en","1125542488","4","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","6","2","2","2","3","1","4","1","3","5","3","2","5","5","1","1","6","2","1","2","2","1","1","1","5","5","5","1","1","1","2","1","1"
"46","1980-01-01 00:00:00","7","en","1377139029","5","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","7","7","4","4","7","1","4","4","4","7","4","4","7","4","1","4","4","4","4","7","4","3","3","3","3","1","1","3","3","3","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","1980-01-01 00:00:00","7","en","1955606974","5","A1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","3","3","1","1","1","3","3","3","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","1980-01-01 00:00:00","7","en","1329779735","5","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","4","4","4","4","4","4"
"49","1980-01-01 00:00:00","7","en","1603642487","6","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","6","4","5","2","2","4","4","4","5","5","2","3","6","6","6","2","5","5","6","6","4","4","4","2","2","2","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","1980-01-01 00:00:00","7","en","1146084229","6","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","5","4","4","3","3","3","3","5","3","4","4","3","3","3","3","4","3","4","3","3","3","2","3","3","3","3","2","3","2","2","4","3","3"
"51","1980-01-01 00:00:00","7","en","10526286","6","A1","6","3","5","5","5","2","4","6","4","6","6","4","3","6","5","5","5","2","6","6","6","5","4","5","5","2","2","2","4","3","3","5","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","1980-01-01 00:00:00","7","en","1627200743","7","A3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","5","4","5","2","3","5","2","6","7","5","2","7","5","4","5","3","6","5","6","6","3","3","4","2","2","3","4","3","4","5","4","4"
"53","1980-01-01 00:00:00","7","en","595814131","7","A1","5","5","4","3","5","5","2","5","4","5","7","3","4","6","4","2","5","3","6","5","7","5","4","5","4","4","4","3","5","4","5","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","1980-01-01 00:00:00","7","en","1051561027","7","A2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","6","7","2","5","7","1","7","7","5","1","7","7","6","7","1","7","7","7","7","5","4","5","1","1","1","5","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
