"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ID","AG","GD","BI1","BI2","BI3","PR1","PR2","O5L","O5M","O5S","O9H","O9L","O9D","O4L","O4S","O4F","O11M","O11F","O11D","O8M","O8H","O8D","O10S","O10M","O10L","O1F","O1H","O1D","O3M","O3S","O3F","O2M","O2S","O2D","O7M","O7H","O7S","O12M","O12L","O12F","O6L","O6D","O6F","interviewtime","groupTime5147","IDTime","AGTime","GDTime","BI1Time","BI2Time","BI3Time","PR1Time","PR2Time","groupTime5153","O5LTime","O5MTime","O5STime","groupTime5158","O9HTime","O9LTime","O9DTime","groupTime5152","O4LTime","O4STime","O4FTime","groupTime5151","O11MTime","O11FTime","O11DTime","groupTime5149","O8MTime","O8HTime","O8DTime","groupTime5159","O10STime","O10MTime","O10LTime","groupTime5148","O1FTime","O1HTime","O1DTime","groupTime5155","O3MTime","O3STime","O3FTime","groupTime5154","O2MTime","O2STime","O2DTime","groupTime5157","O7MTime","O7HTime","O7STime","groupTime5150","O12MTime","O12LTime","O12FTime","groupTime5156","O6LTime","O6DTime","O6FTime"
"32","2021-08-17 10:26:06","13","en","1202990887","2021-08-17 10:22:42","2021-08-17 10:26:06","1","27","M","Y","A3","A4","A2","A3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","211.94","60.63","","","","","","","","","29.3","","","","23.96","","","","19.19","","","","9.77","","","","8.5","","","","22.61","","","","15.9","","","","4.78","","","","4.95","","","","4.21","","","","3.51","","","","4.63","","",""
"33","2021-08-17 11:42:47","13","en","91276475","2021-08-17 11:39:29","2021-08-17 11:42:47","2","21","M","Y","A2","A4","A4","A4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","203.37","26.17","","","","","","","","","13.91","","","","25.33","","","","15.32","","","","11.11","","","","17.4","","","","10.34","","","","18.06","","","","15.8","","","","10.3","","","","8.94","","","","11.57","","","","19.12","","",""
"34","2021-08-17 13:50:33","13","en","736227741","2021-08-17 13:48:10","2021-08-17 13:50:33","3","24","M","Y","A5","A4","A5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","150.32","46.85","","","","","","","","","11.29","","","","9.49","","","","11.93","","","","9.36","","","","16.12","","","","5.58","","","","6.71","","","","7.83","","","","4.43","","","","10.46","","","","4.3","","","","5.97","","",""
"35","2021-08-17 14:36:52","13","en","70685100","2021-08-17 14:35:07","2021-08-17 14:36:52","4","22","M","Y","A4","A5","A2","A1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","111.66","54.2","","","","","","","","","16.96","","","","7.58","","","","7.57","","","","6.34","","","","2.33","","","","2.35","","","","4.18","","","","1.88","","","","2.48","","","","1.63","","","","1.92","","","","2.24","","",""
"36","2021-08-17 15:10:53","13","en","1430211475","2021-08-17 15:09:45","2021-08-17 15:10:53","5","21","F","N","A1","A1","A1","A1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.68","29.74","","","","","","","","","12.8","","","","6.9","","","","3.57","","","","2.18","","","","2.49","","","","2.02","","","","2.26","","","","3.26","","","","1.59","","","","2.6","","","","2.19","","","","2.08","","",""
"37","2021-08-17 16:02:33","13","en","650563638","2021-08-17 15:58:39","2021-08-17 16:02:33","6","21","F","Y","A2","A3","A4","A3","0","A3","0","A4","0","0","A3","0","A3","0","0","1","A4","0","0","0","0","0","A1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","241.19","28.23","","","","","","","","","18.77","","","","17.33","","","","34.72","","","","15.99","","","","29.39","","","","7.63","","","","34.28","","","","14.56","","","","6.77","","","","11.32","","","","7.62","","","","14.58","","",""
"38","2021-08-17 17:13:42","13","en","1350740185","2021-08-17 17:08:26","2021-08-17 17:13:42","7","21","F","N","A2","A2","A3","A3","0","0","0","0","0","0","1","0","A3","0","0","1","0","0","A4","0","0","A3","0","1","A2","0","0","0","1","0","A2","0","0","0","0","0","0","0","0","0","321.74","30.74","","","","","","","","","8.99","","","","12.11","","","","23.49","","","","16.82","","","","36.1","","","","36.76","","","","39.39","","","","18.01","","","","16.69","","","","42.33","","","","15.51","","","","24.8","","",""
"39","2021-08-17 18:35:24","13","en","529497744","2021-08-17 18:34:29","2021-08-17 18:35:24","8","21","F","Y","A2","A5","A3","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.23","25.64","","","","","","","","","12.86","","","","4.22","","","","2.81","","","","2.75","","","","2.21","","","","1.53","","","","1.87","","","","2.01","","","","1.14","","","","1.25","","","","1.39","","","","1.55","","",""
"40","2021-08-17 20:17:29","13","en","311216592","2021-08-17 20:14:10","2021-08-17 20:17:29","9","21","M","N","A2","A3","A2","A3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","A4","0","1","A1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","207.12","43.2","","","","","","","","","37.89","","","","10.36","","","","11.84","","","","4.75","","","","19.43","","","","2.96","","","","27.49","","","","11.52","","","","6.48","","","","7.58","","","","7.7","","","","15.92","","",""
"41","2021-08-17 21:00:38","13","en","2103077172","2021-08-17 20:59:10","2021-08-17 21:00:38","10","22","F","N","A1","A1","A3","A2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.64","34.13","","","","","","","","","12.96","","","","5.99","","","","14.43","","","","2.74","","","","4.18","","","","3.09","","","","5.18","","","","2.89","","","","3.44","","","","1.93","","","","2.22","","","","1.46","","",""
